Title,Company,Link
Senior Full Stack Developer,Ace Software Consulting Inc.,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BkAEcZ2xmTVuqrjW1SvJB0AVmVlij-7r8yI_Mbg-wRomYTohnZhVqMxXnqheVjnqPHxSi5Z66BQJbJ_fBkqWBjAWh1aL6IlB9bnO1x-0bSU8XH7-E_LGMkYT20qquYK96CWtH8dh8gZvsXkbXKw-t0Z8_UWecExT0co9LR7oWUyRlbwqUSxg4QPMYwtLLgID8AqQfYoFROsK3WQSM_9FzkEER4LFEj_365g45FeGmrfn4Sjh1ls9vKPM_Jyy4X7i_kae9aRTKzZtYlaZyt765yQrJewYHLUUgbww3I2zWaSxFGfDd3uO4JGTs5GuxksbXjwnVs62U7LWB0W8sJjJJp0ib9CfKM5179p6Ei29wz8oTaMQcSwFHiTBRsF_CuJHaA9gtSfybrtGhe42TFzbGhAyIl7ZaScrp4qvs-Ie33HBZ3AlOoiv_GA45XjoncJIg1mS_kTuRT1zEqpwPFL46lK-82Jv_9BARsqBEMuMyKUHGCtJVOkqEFXDCy1j3WvxjY6-iB66WinJdWtC3W76wVXlIR0riRGYDbCrGZpqZspGFs7X6ZiYrhihg2pWjfM_g1RZnw5iu-uxaiQriW1to7bTyWnmxqRvlYGPlyD5CyK7S42Cv8GKdl49VA1ZeBClmbrqTIbL6BRgfJ6VlogLpRyzg66RuvpwFTsuQ_QnefrnbChchjyEEbwWNKHrj09ZI7ntIkM1YTGDIfh-fL8-Sm&xkcb=SoB86_M3puv0wsyMbJ0KbzkdCdPP&camk=UoKtGZLa3XLQ1XyfCNLxcg==&p=0&fvj=0&vjs=3
Vision Software Developer II - Applications & Algorithms,LMI Technologies,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVyFvn6KNrme0qWK4PNhlu3RlnHL78IF6EgpbnUMzpFaEdfNrZtp38HfMwKMFMMk9_4hbLTbKlz2C40QlPxz-z9CQ_q-Fz9ec92cFrjxUvHOzIMwZGkfmbwjoxvYIp20m418PiXzCXah84L7tH5DcQWjk1BXVPp8NZMlE747DJ1wrSZzPMr57UzqeS2G5eTCeYLNu811r6tvmfdU3LehH3Z9FsP0wVeHlhKM8hrbjzsHaA_hPdSFMWMpSVD3TInn6LsjxX_CPN-T13dT9-LlE-lW-mzkxKz-puLrBuBKHx2W62WeycHo8dujGYB1wOUH4ni1c_1VhZmCVGCSGwK79W0fo6YkF7dOfvYt9cWvOMfYAyLqoEyYbpkvietZ6Kf084uaVoZik7b1QGrgGtb6lUFQRz6wq7tZ6mMtldS1Tls5n1qLVYrjArzZyGFy5lgoGj5kbFvNAjykTjdbOaSqR0Dv8JSObIs1vwxu8CNTg1pIw81t0Fq7LELaK8nHQ_zchpWoV7R87Xt-kHEPQCAgcrAQc15y-k_IKBXIBFV2gkdrhlyisWC5nhB-XB3WVJaBJBrtTVLZ7VZ60g8VOfuA_srtm_M0cQ6dBF-SgxOdlkpgHXXz7vxFA-kVbTeTCHydpG9rp7YO-a9PlFBLAj017gVMV2l92jaeEsvFFlcdl2781aV2IiEjlSFi9iWZCWCaqyt-gz9iuhsxL75cpeGersO3Jxn2-DwRB5veIabbuBvHzUJ8vMi3pxAYhmade0Ct_j9J4wXPwas-UhU8tmkB5uauaXF_Ah1u6-SDOzA7Q-pni6nuZ6Q3pHw4DfDkz5lgo=&xkcb=SoDh6_M3puv0wsyMbJ0JbzkdCdPP&camk=ethIe0s0heeFR86g9RvtZA==&p=1&fvj=0&vjs=3
Principle Data Scientist,AutoTrader.ca,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BlgGQq54RhTRbtNOtgf4q8ADJ3rNd1t7LC5bhoOEgeTFGfhBnyfPTSAXEKafSoqgvPE5G1f4gZXnUbVwYg8DtNrXb6tu0EGX7JiUT-fH31GJsZEeWcToIT5Mu2HulDXhW6PCXUD2NIay9HFfhT5dHEZLagjey4GAXsMv9_a9fK0t7O4288-QDlQFfk9m63d8OKSBL0hn_z1riU86NOp9HaKi5T-k0lvEOSkT2zOTgVxFV1jwFj-ZQosVTUBpp119vH7-MKrGhvgH2xdmmIt71Qn0ExodFHvboqwcQ5wSWZODO0IELeso7WnqpLYM-dQMK-I-Fq5CvMvewpoMVCQq9ysxB0jCOe2p8ZH9BFsheYlPyiWHxYNSCubp_C3EfBhws02GXDb9GRF124iyFF0xlj9L0ai5Ggz2M1S45Skx1FHE0Oq61Fh-Gh4lmWVkoGkWiEGkyvsG79c6ex0LRT0nGndhDt0IEaUIe1h0_lK5iCL3jqopjtNhNC3vxtfqHio5AhLGTrWuAGtg6FFPCKl7dmwrLvKU3eEbnF4Gy9biTp8c7nZ9vj6NG9cQH7wIsKth7ynvsWNnmPogBZcHj09tTeMxRjOhAPx0M=&xkcb=SoBV6_M3puv0wsyMbJ0IbzkdCdPP&camk=UoKtGZLa3XI9vlCkUbQcWA==&p=2&fvj=0&vjs=3
Data Science & Optimization Intern,Pason Systems Corp,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcRl5JMWPsAxVU8lEwgLtRgG9_4KCpd-nYi6XARvcRxpGMEa2WQdWt1jRQ1lG81UxLfcokk8I83Bsi9lIR4yc7FBsxt3KUJj3QeW3tL-m6fxiNJknI8aKqmtHKcVx8cqFi04OyZ2td4u6z117hhdy0jK2_06UrWBeIpxgzpECZudphFHrZR2_mFQ2_kSBpObzY1tr_9LSRqRZiMPpiMl8zd626ukueVyIdKMEhvxQZcap6Nk7rcNbZQAqOnEO7cwHjb2jduliHiH3IDThwrRZn0CxtOzIVakhZYFJNU9KL78awYCG_lzuTQCqxrfb6Hki0SrH6ICWDiCfVz2PV8UKSuG51uqZKg5AqF-uVNgoi62I8QqL2XPXP766jZYedWAXpIvIFqmwbVwTJuKgk7Jav-TbRkFOBEGUl9AXnsiLGmHFwljynZ3zi1haGMWSn3cbIlcrNlBpG-DP3mPYbfZ4eT3nqiDVzy-COztkpgtxVhMO7VmUzhKLKxQMmk2UBS8xuce_xlEbfn_zUk9p7mkbRpBc9ZSUlIv9QhJRTr8oQOT6ZKnzLdJ7Ttl57BrNWfr4V46NWqrAdk6nhP9K9kS0XPhs3glTwx04KSDsybu9HvYPEQS1Pdoo75_MEBFlBWP-PwsoKuperCdGEu6QeU2PEOM-UAqFfMVbp1poLab-zUUAreKyE-xD5G-CiHhTt-WL57wjXGlRogTlwkjs2QOaCXUtF9xwqxFeLQMzPQworRbY7sHAS2juW8zHrJ4URBaUHuxFSU_z7YhZH7ICGD_zXggSXXWue8XZqZIqfrjOFjZMIViOGVRIB9UN_5soZRlKXjpafjJ7FEvKuaTDFFDwyObq52DeW1BcCSNNjktRjuLPUilMa0Ao19iLQY86vQZiWFdhyh9q1-g==&xkcb=SoDb6_M3puv0wsyMbJ0PbzkdCdPP&camk=xqnMBGaf-K96qJUg0Ddi6A==&p=3&fvj=0&vjs=3
Software Architect,DocuPet,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5tYKOF7UACUZOPdMjPQGgbcOZz4RZcw-x04BV0B0k-cqNZMGBCDsa1j2w_7XJ0D1xKpj5kx8Urx5oHk7Uk-Ii_7Zwx-zgiLesIIhnNfSMxg_75Cd5s6UvfAotclYaLNm9-7Bxjt7z_R0E-8YEcAqBjFsL3htY6r0zhIEqAKzZjpOBKXIaJy279JvFn0ZYl8Am9VLChnrokbhiJzWaLCvIM4HGvF6SGyqr5uW0PKavRulWpAxgXnTF9P6uKKYisSKmmH5GOYHZoJpgOR19wXu-y8bl42cvZK2_SvjH8V7s5DYsG2nsdh0JKOQxH1I3gFlKcXp6UffSrcAxXaflg0myw_WJgoFXOafYLZl6s_sVdyvKGoR-rqT_pDKUgcCWw9YbN8_bawwmwdDZKZbamH9xqyZQaSX2OIddtd0H1OkVpWzuy-vs4Jsp3oLA6K5KCuUv-4xRgPyUYbw2arvjrk3dJYIQa2iRwrKJaQG3g0rhyJZOml0jfgh0QEniRnqEsctl4JbWsZErl-tUSjyAs2ed5M6og--FgH0FvVhpdLRL2nBxhZimvyOPkunM4PkKpffgEJozrFUC3-6hK26VbVh8kj4UEm0ZVMeiIJYqVFH15CE11o6JAN4gC3XjBaSzr9D1qpRBS9n1AgJtuBugVnkR26sZc6guQGI=&xkcb=SoBv6_M3puv0wsyMbJ0ObzkdCdPP&camk=ethIe0s0hedg6pcbEbIn4A==&p=4&fvj=0&vjs=3
Software Architect,DocuPet,https://ca.indeed.com/viewjob?jk=789abcdef0123456
Mobile Application Developer,WeVend,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSAzMoczGrq7NQ-F_tad8fNpV53-TMW7zTmb0nojeFwsKgSfvM2oxSWLe8M5UnXmC2lVwxt9TVQGYZ8yE6tXrX8bujkgQG6OcH_b3JTagjWZ5wmyPh_Pf2SphsgK0eJuZub_RGqRaabro24xaAUf4TIXbgXaQQytQOwk8aL-16QTNVpMCP_loQ3XpEsLH89aqwbC2zflGdjHaE4kgrKQ2RfZL6WSmQUC9k56IhbFe0gRaAxNH1BpvuvRApZ7qOuB0W_RmTzi6O3w2onDxyJWPyXpPB78Q_p_B1eVulrLgtQqhc3G6e-fgwp78npWUrX3wzL5IKSD-VMSbZNjMkAURWh44t9655dRtR34LQ16nP2_fGAHuBoOqTc-dd-kIk2FzZXrg3lbMrIWuCnUs8A7C4kqwuTcSOI0a79RRTeHvFr5JbxQUSoPiY5EzkshTUCAL9kK2Qy9_9hIejD_TMA2HBlFqM6_5Suk98wi1FdqN_yXt35YWGLNO5I3oN6IiUz1kJx4KNChI14GSlNYw2qOUPOcKhpMAUE-nG3upBfL9kHt33gIoGYep8D9F8H9HwCNEaZpKjM-7eBg7ZQ_c3mDCdagOQmxsKOxZ27bEc0E6Ms6bLu9mKX9V6-Ck0cWHkkKzwFdfnCsF4rcBozhlh_6j_I_6gqEhAR6zf3GR3BTdUdlHgUW7uRXeeS-RVAETF0L4=&xkcb=SoDy6_M3puv0wsyMbJ0NbzkdCdPP&camk=UoKtGZLa3XKSq8NcdfHHCA==&p=5&fvj=0&vjs=3
Tekla Extensions Developer,Stubbe s Workforce Inc,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFRiYxgNpsJAgX1vttem1RMdkz_8xfSFUgJjQl5YD82VxR_h9rBdAg-HD8DNbtgG3daUylRLBYYq_LY2YKLaAPdXghqspRVdHPSGPCNpjW6E17VxhLHy9ZeDd8oB6q1HiLVf2aaJBSIkV1vURlVCmMLQr-mnlhQI2YE8kWPAf-KIlVSZgV-A05qT0F4_AqS8IS775mu3nbCrZhutwLtACySbtDZps1xNjQlkjkJTSozyDnStbRN64VuwnbIn_G3Wf6gfwC4x5MwxseiJLmpmgEhr4M9fqBzQ8Ug344M6-wSM_2Jb0uLIZR2nDLE4X5PGk0ekK1hx0DHKxfGhe7qYttHUudPVpg4D_JDz08c6b-vrzGyA4nUSXQTamzrp4KPTm76sA9MjPVsvSnC_cLZNwJXwlr074OBlZrAtpT1QrGwD06V1XFdPhDbVXddwJbb2Aje2gxC4fD3C9a1gJWahSdfPF2pSyPQP-7MPP1lZROxFyYx67wnWvN2Y9lKx6mSqh8dlR-VwhQT_F3t59WTtgct9khBQfG9-ed4Ro4Jxs0ukPreihIrsf_rFglmANz1EQ1R8hioCWXZz74TQwobA61Ybq7K1HnkADvoUtA0NsRGUNBIRzGTh1sI_0wdP_pMMkNRHJsrHwDKoaoyHsA5UZcgWQdvqRN4yXe2lEbZD1xe_FgZQmKwBVz8LYiqU3WT74o2ufiCTXjmTMExMHW2bgqTVUM_NOCW-oK2GZ-LtdybHZz9OTG3UD4T039ELiQ-NtBFEM8kgFwE50NxNqvjlPv8iARVB5zn3S_ARQncOU76hPpvPKeGu7Q82yVIrKMfzqbsNAIMwhXaV091VDzmVwM13YbclZBvOOQX1LDTszVU1vObfrgqgvc5ed4DeiA2QaK3oDwerYTNUl0bS0OIMSeHdwiDidlQi8=&xkcb=SoBG6_M3puv0wsyMbJ0MbzkdCdPP&camk=nUmJqO2E8rhPx9BlzadWVA==&p=6&fvj=0&vjs=3
Oracle HCM Fusion Cloud Specialist- 12 months Contract,Chartwell Retirement Residences,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B--hWkfVDVYuSqjON_S1xFF_wyPd3wu7CWfUE2zDaCBuH0lGbccrvmQ0GyvdIYpN-tLvbStWx-tEVb4VzODQ6Fwvdhe_5txOEeVU4ShzYIdVxSWr1Jogjr3NH96J5ODsK0r4YUvLWU1c4lvETph5dIBG1K2qn0ji5ztT1oORTVZya0D_wwQyFYu1mFPB0bAeXEti6bRhaYFWVB779EjyJQNIDQdFdDQu9rXc3B57J0yt2EMm5LuhAPAeIT7_YFKWhWPB2_xidMMAtTfxmEBvJlrJ0CHrrVNix9QciA855NgqB57QgSJdI1z6tOsVjXxbaP7IB71WaCxG5AQnOSVVxa2r-BDp_Cq8G0NSJO4gJCF49c3pP9fv-H8FsJRMH9TYSl24V8XDBCW2JCdK5UhSxdNEeAtfcEgfuCn6SwMjvEqbKx0JZrkaZdKAb17VXsnlW_s213d2jbFJDMSuiYbFNJKnMuo27Rm2L6RfuvNbKjaj42JpNgq4TkmBfXWqnefjPh5XqTwQEieSW4SKSGVbpcxchdBhQcurum_Eh-2pcZyFIzWnULvMyv7wRXGtMelZiZQ0pc0gC8nSEAt5E6H21QL_v6ohEgrxhEJ3zEiY15Ir_AG9zC8KKY97bmkQQ4g3NqbbWhMDKpwKL9GUyYCrrJuZtbpAhboKIDOcuRpLYvCjyBBbgvzkdRmlUzUqbL4gLVq0U_mbPQJFBYLXHSBdLl&xkcb=SoCv6_M3puv0wsyMbJ0DbzkdCdPP&camk=UoKtGZLa3XKa4he_p9ervA==&p=7&fvj=0&vjs=3
Senior Ceph Storage Engineer,GoDaddy,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CqfVhBzWxdL3SHOcfI6NimNiHupAw8V9la0d-Ln_fefGs2kOkAk5B6OpAWWN0Jnz4oGUH9syLP2fKwHPtcU4kJwn19vYeOZKH7LS89alIiOZxG2ss9oK9a9miP81lNE8C73rxnSi3oBC2JDSHTvga9jiR4xoVeEp0INeb2gDlsp4-X6iaF_6H4faH1hUyrzlH4T0AlNs40qePnMZQWjmJzkMrbgiuX0yZRrwFz9Xz4E3UZE3ThJjz21VbDL8_butWqZfZiF3-RZpjpRpGl9cSDhFi2iLksYINrbSCn2iuwbR9VsmU682fZ7II9J5otTGzgm-3bS9RrFT62hTc_coVR4WX7qTbfpYrowoQ-zmL5piFzjp3MpLQecVci-R0FBT0iuxaAAUjLmGwJVPGsi9XeAuYvPHWEulEPSUMsteGwyGvLiiAh78SsQCoqc8-RUpAWRnfcamU48Iis2go6iesagoyO9utHK-ufMdZFYxh4On5lIu3wEOb6yfNIJmuBg6jwpAEBvmpblJtg_QfT3SmmYIp5wM1n4Ipk0p8u5CegM0lZC9xs1zEhPJvEziKsw7rAxA5SDwIgoMorIEzuR400vKugmTIxj9P7q4ZJIYdqrsqNkHdmfbgbU1cxO54x31wCFAYoBXYnxA==&xkcb=SoAb6_M3puv0wsyMbJ0CbzkdCdPP&camk=UoKtGZLa3XJ22UrrPikR5A==&p=8&fvj=0&vjs=3
